id_hal	Translation_id	Postedit_id	line_id	source	translation	postedition
3834732	4248	155	1	We present a new approach to perform zeroshot cross-modal transfer between speech and text for translation tasks.	Nous présentons une nouvelle approche pour effectuer un transfert intermodal zéro-shot entre la parole et le texte pour les tâches de traduction.	Nous présentons une nouvelle approche permettant d'effectuer un transfert intermodal zéro-shot entre parole et texte écrit pour des tâches de traduction.
3834732	4248	155	2	Multilingual speech and text are encoded in a joint fixed-size representation space.	La parole et le texte multilingues sont codés dans un espace de représentation commun de taille fixe.	La parole et le texte multilingues sont encodés dans un espace de représentation commun de taille fixe.
3834732	4248	155	3	Then, we compare different approaches to decode these multimodal and multilingual fixed-size representations, enabling zero-shot translation between languages and modalities.	Ensuite, nous comparons différentes approches pour décoder ces représentations multimodales et multilingues de taille fixe, permettant une traduction de zéro plan entre les langues et les modalités.	Nous comparons ensuite différentes approches visant à décoder ces représentations multimodales et multilingues de taille fixe, permettant une traduction zéro-shot entre langues et modalités.
3834732	4248	155	4	All our models are trained without the need of cross-modal labeled translation data.	Tous nos modèles sont formés sans avoir besoin de données de traduction étiquetées intermodales.	Tous nos modèles sont entraînés sans que des données de traduction intermodales annotées soient nécessaires.
3834732	4248	155	5	Despite a fixed-size representation, we achieve very competitive results on several text and speech translation tasks.	Malgré une représentation de taille fixe, nous obtenons des résultats très compétitifs sur plusieurs tâches de traduction de texte et de parole.	Malgré la taille fixe de cette représentation, nous obtenons des résultats très compétitifs sur plusieurs tâches de traduction du texte et de la parole.
3834732	4248	155	6	In particular, we outperform the state of the art for zero-shot speech translation on Must-C.	En particulier, nous surpassons l'état de la technique pour la traduction vocale à tir nul sur Must-C.	En particulier, nous surpassons l'état de l'art pour la traduction zéro-shot de la parole sur Must-C.
3834732	4248	155	7	We also introduce the first results for zero-shot direct speechto-speech and text-to-speech translation.	Nous présentons également les premiers résultats pour la traduction vocale directe à tir nul et la traduction de texte à parole.	Nous présentons également les premiers résultats pour la traduction directe zéro-shot de la parole et la traduction du texte à la parole.
1843187	2228	338	0	LIMSI-COT at SemEval-2016 task 12: Temporal relation identification using a pipeline of classifiers	LIMSI-COT à SemEval-2016 tâche 12: Identification des relations temporelles à l’aide d’un pipeline de classificateurs	LIMSI-COT à SemEval-2016 tâche 12: Identification de relations temporelles à l’aide d’une chaîne de classifieurs
1843187	2228	338	1	SemEval 2016 Task 12 addresses temporal reasoning in the clinical domain.	SemEval 2016 Task 12 aborde le raisonnement temporel dans le domaine clinique.	La tâche 12 de SemEval 2016 aborde le raisonnement temporel dans le domaine clinique.
1843187	2228	338	2	In this paper, we present our participation for relation extraction based on gold standard entities (subtasks DR and CR).	Dans cet article, nous présentons notre participation pour l’extraction relationnelle basée sur des entités d’étalon-or (sous-tâches DR et CR).	Dans cet article, nous présentons notre participation pour l’extraction de relations à partir d'entités de référence (sous-tâches DR et CR).
1843187	2228	338	3	We used a supervised approach comparing plain lexical features to word embeddings for temporal relation identification, and obtained above-median scores.	Nous avons utilisé une approche supervisée comparant les caractéristiques lexicales simples aux incorporations de mots pour l’identification des relations temporelles, et nous avons obtenu des scores supérieurs à la médiane.	Nous avons utilisé une approche supervisée comparant les caractéristiques lexicales simples aux plongements de mots pour l’identification de relations temporelles, et nous avons obtenu des scores supérieurs à la médiane.
3977982	18634	160	0	Tackling Ambiguity with Images: Improved Multimodal Machine Translation and Contrastive Evaluation	S'attaquer à l'ambiguïté avec des images : Traduction automatique multimodale améliorée et évaluation contrastive	Lutter contre l'ambiguïté par les images : Traduction automatique multimodale améliorée et évaluation contrastive
3977982	18634	160	1	One of the major challenges of machine translation (MT) is ambiguity, which can in some cases be resolved by accompanying context such as an image.	L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, qui peut dans certains cas être résolue par l'accompagnement d'un contexte tel qu'une image.	L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, laquelle peut, dans certains cas, être résolue par l'adjonction d'un contexte telle une image.
3977982	18634	160	2	However, recent work in multimodal MT (MMT) has shown that obtaining improvements from images is challenging, limited not only by the difficulty of building effective cross-modal representations but also by the lack of specific evaluation and training data.	Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, limitées non seulement par la difficulté de construire des représentations multimodales efficaces, mais aussi par le manque de données d'évaluation et d'entraînement spécifiques.	Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, en raison non seulement de la difficulté de construire des représentations multimodales efficaces, mais aussi du fait du manque de données d'évaluation et d'entraînement spécifiques.
3977982	18634	160	3	We present a new MMT approach based on a strong text-only MT model, which uses neural adapters and a novel guided self-attention mechanism and which is jointly trained on both visual masking and MMT.	Nous présentons une nouvelle approche de la MT multimodale basée sur un modèle de MT textuelle solide, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée et qui est entraîné conjointement sur le masquage visuel et la MT multimodale.	Nous présentons une nouvelle approche de la TA multimodale basée sur un modèle de TA pur texte robuste, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée, et qui est entraîné conjointement sur des images masquées et la TA multimodale.
3977982	18634	160	4	We also release CoMMuTE, a Contrastive Multilingual Multimodal Translation Evaluation dataset, composed of ambiguous sentences and their possible translations, accompanied by disambiguating images corresponding to each translation.	Nous publions également CoMMuTE, un ensemble de données d'évaluation de la traduction multimodale multilingue contrastive, composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images désambiguïsantes correspondant à chaque traduction.	Nous publions également le jeu de données CoMMuTE (Contrastive Multilingual Multimodal Translation Evaluation), composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images visant à leur désambiguïsation et correspondant à chaque traduction.
3977982	18634	160	5	Our approach obtains competitive results over strong text-only models on standard English-to-French benchmarks and outperforms these baselines and state-of-the-art MMT systems with a large margin on our contrastive test set.	Notre approche obtient des résultats compétitifs par rapport à des modèles textuels forts sur des benchmarks anglais-français standards et surpasse ces baselines et les systèmes MMT de pointe avec une grande marge sur notre ensemble de tests contrastifs.	Notre approche obtient des résultats compétitifs par rapport à des modèles textuels performants sur des benchmarks anglais-français standards et surpasse ces baselines et les systèmes de TA multimodale de pointe d'une large marge sur nos données de test contrastives.
1704769	5123	140	0	Word Representations in Factored Neural Machine Translation	Représentations de mots dans la traduction automatique neuronale factorisée	Représentations de mots dans la traduction automatique neuronale factorisée
1704769	5123	140	1	Translation into a morphologically rich language requires a large output vocabulary to model various morphological phenomena, which is a challenge for neural machine translation architectures.	La traduction dans un langage morphologiquement riche nécessite un grand vocabulaire de sortie pour modéliser divers phénomènes morphologiques, ce qui est un défi pour les architectures de traduction automatique neuronale.	La traduction dans un langage morphologiquement riche nécessite un grand vocabulaire de sortie pour modéliser divers phénomènes morphologiques, ce qui est un défi pour les architectures de traduction automatique neuronale.
1704769	5123	140	2	To address this issue, the present paper investigates the impact of having two output factors with a system able to generate separately two distinct representations of the target words.	Pour répondre à cette question, le présent document étudie l'impact d'avoir deux facteurs de sortie avec un système capable de générer séparément deux représentations distinctes des mots cibles.	Pour répondre à cette problématique, le présent article étudie l'impact qu'entraîne le fait d'avoir deux facteurs de sortie au sein d'un système capable de générer séparément deux représentations distinctes des mots cibles.
1704769	5123	140	3	Within this framework, we investigate several word representations that correspond to different distributions of morpho-syntactic information across both factors.	Dans ce cadre, nous étudions plusieurs représentations de mots qui correspondent à différentes distributions d'information morpho-syntaxique entre les deux facteurs.	Dans ce cadre, nous étudions plusieurs représentations de mots qui correspondent à différentes distributions d'information morphosyntaxique entre les deux facteurs.
1704769	5123	140	4	We report experiments for translation from English into two morphologically rich languages, Czech and Latvian, and show the importance of explicitly modeling target morphology.	Nous présentons des expériences de traduction de l'anglais vers deux langues morphologiquement riches, le tchèque et le letton, et montrons l'importance de modéliser explicitement la morphologie cible.	Nous présentons des expériences de traduction de l'anglais vers deux langues morphologiquement riches, le tchèque et le letton, et démontrons qu'il est important de modéliser explicitement la morphologie cible.
3933089	3164	102	0	Multimodal Inverse Cloze Task for Knowledge-based Visual Question Answering	Tâche multimodale de fermeture inversée pour la réponse aux questions visuelles basées sur les connaissances	Tâche de complétion inversée multimodale pour répondre aux questions visuelles basées sur les connaissances
3933089	3164	102	1	We present a new pre-training method, Multimodal Inverse Cloze Task, for Knowledge-based Visual Question Answering about named Entities (KVQAE).	Nous présentons une nouvelle méthode de préformation, Multimodal Inverse Cloze Task, pour répondre aux questions visuelles basées sur les connaissances sur les entités nommées (KVQAE).	Nous présentons une nouvelle méthode de préentraînement, la tâche de complétion inversée multimodale, pour répondre aux questions visuelles à propos d’entités nommées (KVQAE).
3933089	3164	102	2	KVQAE is a recently introduced task that consists in answering questions about named entities grounded in a visual context using a Knowledge Base.	KVQAE est une tâche récemment introduite qui consiste à répondre à des questions sur des entités nommées fondées sur un contexte visuel à l’aide d’une base de connaissances.	La KVQAE est une tâche récemment introduite qui consiste à répondre, à l’aide d’une base de connaissances, à des questions à propos d’entités nommées ancrées dans un contexte visuel.
3933089	3164	102	3	Therefore, the interaction between the modalities is paramount to retrieve information and must be captured with complex fusion models.	Par conséquent, l’interaction entre les modalités est primordiale pour récupérer des informations et doit être capturée avec des modèles de fusion complexes.	Par conséquent, l’interaction entre les modalités est primordiale pour rechercher des informations et doit être capturée avec des modèles de fusion complexes.
3933089	3164	102	4	As these models require a lot of training data, we design this pre-training task from existing work in textual Question Answering.	Comme ces modèles nécessitent beaucoup de données de formation, nous concevons cette tâche de préformation à partir du travail existant en réponse aux questions textuelles.	Comme ces modèles nécessitent beaucoup de données d’entraînement, nous concevons cette tâche de préentraînement à partir de travaux existants en question-réponse textuel.
3933089	3164	102	5	It consists in considering a sentence as a pseudo-question and its context as a pseudo-relevant passage and is extended by considering images near texts in multimodal documents.	Il consiste à considérer une phrase comme une pseudo-question et son contexte comme un passage pseudo-pertinent et s’étend en considérant des images à proximité de textes dans des documents multimodals.	Cette tâche consiste à considérer une phrase comme une pseudo-question et son contexte comme un passage pseudo-pertinent et s’étend en considérant des images à proximité de textes dans des documents multimodaux.
3933089	3164	102	6	Our method is applicable to different neural network architectures and leads to a 9% relative-MRR and 15% relative-F1 gain for retrieval and reading comprehension, respectively, over a no-pre-training baseline.	Notre méthode est applicable à différentes architectures de réseau neuronal et conduit à un gain de 9 % relatif-MRR et 15 % relatif-F1 pour la récupération et la compréhension de lecture, respectivement, sur une base sans formation.	Notre méthode est applicable à différentes architectures de réseaux de neurones et conduit à un gain relatif de 9 % de MRR et 15 % de F1 pour la recherche d’information et l’extraction de réponse, respectivement, par rapport à un modèle sans préentraînement.
1674140	2038	184	0	Machine Translation	Traduction automatique	Traduction automatique
1674140	2038	184	1	The dream of a universal translation device goes back many decades, long before Douglas Adams’s fictional Babel fish provided this service in The Hitchhiker’s Guide to the Galaxy.	Le rêve d’un dispositif de traduction universel remonte à de nombreuses décennies, bien avant que le poisson fictif Babel de Douglas Adams fournisse ce service dans The Hitchhiker’s Guide to the Galaxy.	Le rêve d’un dispositif de traduction universel est vieux de plusieurs décennies, bien avant que le poisson Babel fictif de Douglas Adams ne fournisse ce service dans Le Guide du voyageur galactique.
1674140	2038	184	2	Since the advent of computers, research has focused on the design of digital machine translation tools—computer programs capable of automatically translating a text from a source language to a target language.	Depuis l’avènement des ordinateurs, la recherche s’est concentrée sur la conception d’outils numériques de traduction automatique — des programmes informatiques capables de traduire automatiquement un texte d’une langue source vers une langue cible.	Depuis l’avènement des ordinateurs, la recherche s’est concentrée sur la conception d’outils numériques de traduction automatique — des programmes informatiques capables de traduire automatiquement un texte d’une langue source vers une langue cible.
1674140	2038	184	3	This has become one of the most fundamental tasks of artificial intelligence.	C’est devenu l’une des tâches les plus fondamentales de l’intelligence artificielle.	C’est devenu l’une des tâches les plus fondamentales de l’intelligence artificielle.
1674140	2038	184	4	This volume in the MIT Press Essential Knowledge series offers a concise, nontechnical overview of the development of machine translation, including the different approaches, evaluation issues, and market potential.	Ce volume de la série MIT Press Essential Knowledge offre un aperçu concis et non technique du développement de la traduction automatique, y compris les différentes approches, les questions d’évaluation et le potentiel du marché.	Ce volume de la série MIT Press Essential Knowledge offre un aperçu concis et non technique du développement de la traduction automatique, traitant des différentes approches, des questions d’évaluation et de son potentiel commercial.
1674140	2038	184	5	The main approaches are presented from a largely historical perspective and in an intuitive manner, allowing the reader to understand the main principles without knowing the mathematical details.	Les approches principales sont présentées d’un point de vue largement historique et d’une manière intuitive, permettant au lecteur de comprendre les principes principaux sans connaître les détails mathématiques.	Les approches principales sont présentées d’un point de vue largement historique et d’une manière intuitive, permettant au lecteur d'en comprendre les principes majeurs sans en connaître les détails mathématiques.
1674140	2038	184	6	The book begins by discussing problems that must be solved during the development of a machine translation system and offering a brief overview of the evolution of the field.	Le livre commence par discuter des problèmes qui doivent être résolus lors du développement d’un système de traduction automatique et offrir un bref aperçu de l’évolution du domaine.	Le livre commence par discuter des problèmes qui doivent être résolus lors du développement d’un système de traduction automatique, offrant un bref aperçu de l’évolution du domaine.
1674140	2038	184	7	It then takes up the history of machine translation in more detail, describing its pre-digital beginnings, rule-based approaches, the 1966 ALPAC (Automatic Language Processing Advisory Committee) report and its consequences, the advent of parallel corpora, the example-based paradigm, the statistical paradigm, the segment-based approach, the introduction of more linguistic knowledge into the systems, and the latest approaches based on deep learning.	Il reprend ensuite plus en détail l’histoire de la traduction automatique, décrivant ses débuts prénumériques, ses approches fondées sur des règles, le rapport de 1966 ALPAC (Automatic Language Processing Advisory Committee) et ses conséquences, l’avènement de corpus parallèles, le paradigme basé sur l’exemple, le paradigme statistique, l’approche par segment, l’introduction de plus de connaissances linguistiques dans les systèmes, et les dernières approches basées sur l’apprentissage profond.	Il reprend ensuite plus en détail l’histoire de la traduction automatique, décrivant ses débuts pré-numériques, ses approches fondées sur des règles, le rapport ALPAC de 1966 (Automatic Language Processing Advisory Committee) et ses conséquences, l’avènement de corpus parallèles, le paradigme basé sur l’exemple, le paradigme statistique, l’approche par segment, l’introduction de plus de connaissances linguistiques dans les systèmes, et les dernières approches basées sur l’apprentissage profond.
1674140	2038	184	8	Finally, it considers evaluation challenges and the commercial status of the field, including activities by such major players as Google and Systran.	Enfin, il examine les enjeux d’évaluation et le statut commercial du terrain, y compris les activités d’acteurs majeurs tels que Google et Systran.	Enfin, il examine les enjeux d’évaluation et le statut commercial du domaine, y compris les activités d’acteurs majeurs tels que Google et Systran.
3930344	3169	136	0	Focused Concatenation for Context-Aware Neural Machine Translation	Concaténation ciblée pour la traduction automatique de neurones en contexte	Concaténation ciblée pour la traduction automatique neuronale en contexte
3930344	3169	136	1	A straightforward approach to context-aware neural machine translation consists in feeding the standard encoder-decoder architecture with a window of consecutive sentences, formed by the current sentence and a number of sentences from its context concatenated to it.	Une approche simple de la traduction automatique neuronale consciente du contexte consiste à alimenter l’architecture standard de codeur-décodeur avec une fenêtre de phrases consécutives, formée par la phrase actuelle et un certain nombre de phrases de son contexte concaténé à elle.	Une approche simple de la traduction automatique neuronale en contexte consiste à fournir à l’architecture encodeur-décodeur standard une fenêtre de phrases consécutives, comprenant la phrase en cours de traduction et un certain nombre de phrases issues de son contexte concaténées à elle.
3930344	3169	136	2	In this work, we propose an improved concatenation approach that encourages the model to focus on the translation of the current sentence, discounting the loss generated by target context.	Dans ce travail, nous proposons une approche de concaténation améliorée qui encourage le modèle à se concentrer sur la traduction de la phrase actuelle, en évitant la perte générée par le contexte cible.	Dans ce travail, nous proposons une approche améliorée de la concaténation qui encourage le modèle à se concentrer sur la phrase en cours de traduction, en décomptant la part d'erreur imputable au contexte cible.
3930344	3169	136	3	We also propose an additional improvement that strengthen the notion of sentence boundaries and of relative sentence distance, facilitating model compliance to the context-discounted objective.	Nous proposons également une amélioration supplémentaire qui renforce la notion de limites de peine et de distance relative des peines, facilitant ainsi la conformité du modèle à l’objectif de réduction du contexte.	Nous proposons également une amélioration supplémentaire qui renforce la notion de limites de phrase et de distance relative entre les phrases, facilitant ainsi la capacité du modèle à respecter l’objectif de décompte du contexte cible.
3930344	3169	136	4	We evaluate our approach with both average-translation quality metrics and contrastive test sets for the translation of inter-sentential discourse phenomena, proving its superiority to the vanilla concatenation approach and other sophisticated context-aware systems.	Nous évaluons notre approche à la fois avec des métriques de qualité de traduction moyenne et des ensembles de tests contrastifs pour la traduction de phénomènes de discours intersentiels, prouvant sa supériorité à l’approche de la conception de la vanille et à d’autres systèmes sophistiqués conscients du contexte.	Nous évaluons notre approche à la fois sur la base des moyennes de métriques de qualité de traduction et sur des jeux de données de tests contrastifs pour la traduction de phénomènes de discours interphrastiques, prouvant sa supériorité vis-à-vis de l’approche ordinaire de la concaténation et d’autres systèmes sophistiqués tenant compte du contexte en traduction.
3714951	4428	290	0	A First Corpus of AZee Discourse Expressions	Un premier corpus d'expressions de discours AZee	Un premier corpus d'expressions de discours AZee
3714951	4428	290	1	This paper presents a corpus of AZee discourse expressions, i.e. expressions which formally describe Sign Language utterances of any length using the AZee approach and language.	Cet article présente un corpus d'expressions de discours AZee, c'est-à-dire des expressions qui décrivent formellement des énoncés de langage gestuel de n'importe quelle longueur en utilisant l'approche et le langage AZee.	Cet article présente un corpus d'expressions AZee de discours, c'est-à-dire des expressions qui décrivent formellement des énoncés en langue des signes de n'importe quelle longueur en utilisant l'approche et le langage AZee.
3714951	4428	290	2	The construction of this corpus had two main goals: a first reference corpus for AZee, and a test of its coverage on a significant sample of real-life utterances.	La construction de ce corpus avait deux objectifs principaux : un premier corpus de référence pour AZee, et un test de sa couverture sur un échantillon significatif d'énoncés de la vie réelle.	La construction de ce corpus avait deux objectifs principaux : un premier corpus de référence pour AZee, et un test de sa couverture sur un échantillon significatif d'énoncés de la vie réelle.
3714951	4428	290	3	We worked on productions from an existing corpus, namely the 40 brèves, containing an hour of French Sign Language.	Nous avons travaillé sur des productions issues d'un corpus existant, à savoir les 40 brèves, contenant une heure de Langue des Signes Française.	Nous avons travaillé sur des productions issues d'un corpus existant, à savoir les 40 brèves, contenant une heure de Langue des Signes Française.
3714951	4428	290	4	We wrote the corresponding AZee discourse expressions for the entire video content, i.e. expressions capturing the forms produced by the signers and their associated meaning by combining known production rules, a basic building block for these expressions.	Nous avons écrit les expressions de discours AZee correspondantes pour l'ensemble du contenu vidéo, c'est-à-dire des expressions capturant les formes produites par les signataires et leur signification associée en combinant des règles de production connues, un bloc de base pour ces expressions.	Nous avons écrit les expressions de discours AZee correspondantes pour l'ensemble du contenu vidéo, c'est-à-dire des expressions capturant les formes produites par les signeurs et la signification qui leur est associée, en combinant des règles de production connues, un bloc de base pour ces expressions.
3714951	4428	290	5	These are made available as a version 2 extension of the 40 brèves.	Ceux-ci sont disponibles en version 2 extension des 40 brèves.	Celles-ci sont disponibles dans une version 2, extension des 40 brèves.
3714951	4428	290	6	We explain the way in which these expressions can be built, present the resulting corpus and set of production rules used, and perform first measurements on it.	Nous expliquons la façon dont ces expressions peuvent être construites, présentons le corpus résultant et l'ensemble des règles de production utilisées, et effectuons les premières mesures.	Nous expliquons la façon dont ces expressions peuvent être construites, présentons le corpus résultant et l'ensemble des règles de production utilisées, et effectuons de premières mesures.
3714951	4428	290	7	We also propose an evaluation of our corpus: for one hour of discourse, AZee allows to describe 94% of it, while ongoing studies are increasing this coverage.	Nous proposons également une évaluation de notre corpus : pendant une heure de discours, AZee permet d'en décrire 94%, alors que des études en cours accroissent cette couverture.	Nous proposons également une évaluation de notre corpus : pour une heure de discours, AZee permet d'en décrire 94%, tandis que des études en cours accroissent cette couverture.
3714951	4428	290	8	This corpus offers a lot of future prospects, for instance concerning synthesis with virtual signers, machine translation or formal grammars for Sign Language.	Ce corpus offre de nombreuses perspectives d'avenir, par exemple en matière de synthèse avec des signataires virtuels, de traduction automatique ou de grammaires formelles pour la langue des signes.	Ce corpus offre de nombreuses perspectives pour le futur, par exemple en matière de synthèse avec des signeurs virtuels, de traduction automatique ou de grammaires formelles pour la langue des signes.
3720808	16425	344	0	De-Identification of French Unstructured Clinical Notes for Machine Learning Tasks	Désidentification des notes cliniques non structurées françaises pour les tâches d'apprentissage automatique	Désidentification de documents cliniques non structurés en français pour les tâches d'apprentissage machine
3720808	16425	344	1	Unstructured textual data are at the heart of health systems: liaison letters between doctors, operating reports, coding of procedures according to the ICD-10 standard, etc.	Les données textuelles non structurées sont au coeur des systèmes de santé : lettres de liaison entre médecins, rapports d'opération, codage des procédures selon la norme CIM-10, etc.	Les données textuelles non structurées sont au cœur des systèmes de santé : courriers entre médecins, rapports d'opérations, codage des procédures selon la norme CIM-10, etc.
3720808	16425	344	2	The details included in these documents make it possible to get to know the patient better, to better manage him or her, to better study the pathologies, to accurately remunerate the associated medical acts.. .	Les détails inclus dans ces documents permettent de mieux connaître le patient, de mieux le prendre en charge, de mieux étudier les pathologies, de rémunérer avec précision les actes médicaux associés. .	Les détails inclus dans ces documents permettent de mieux connaître le patient, de mieux le prendre en charge, de mieux étudier les pathologies, de rémunérer avec précision les actes médicaux associés. .
3720808	16425	344	3	All this seems to be (at least partially) within reach of today by artificial intelligence techniques.	Tout cela semble être (au moins partiellement) à la portée d'aujourd'hui par les techniques d'intelligence artificielle.	Tout cela semble être (au moins partiellement) à la portée d'aujourd'hui par les techniques d'intelligence artificielle.
3720808	16425	344	4	However, for obvious reasons of privacy protection, the designers of these AIs do not have the legal right to access these documents as long as they contain identifying data.	Cependant, pour des raisons évidentes de protection de la vie privée, les concepteurs de ces IA n'ont pas le droit légal d'accéder à ces documents tant qu'ils contiennent des données d'identification.	Cependant, pour des raisons évidentes de protection de la vie privée, les concepteurs de ces IA n'ont légalement pas le droit d'accéder à ces documents tant qu'ils contiennent des données identifiantes.
