id_hal	Translation_id	line_id	source	translation	postedition
3866253	4214	4	In this work, we focus on subjective tags which characterize subjective aspects of a product or service.	Dans ce travail, nous nous concentrons sur les étiquettes subjectives qui caractérisent les aspects subjectifs d'un produit ou service.	Dans ce travail, nous nous concentrons sur les tags subjectifs qui caractérisent les aspects subjectifs d'un produit ou service.
3866253	4214	5	We propose conceptual similarity to leverage conceptual awareness when assessing similarity between tags.	Nous proposons une similarité conceptuelle pour tirer parti de la conscience conceptuelle lors de l'évaluation de la similarité entre les étiquettes.	Nous proposons une similarité conceptuelle pour tirer parti de la conscience conceptuelle lors de l'évaluation de la similarité entre les tags.
3866253	4214	6	We also provide a simple cost-effective pipeline to automatically generate data in order to train the conceptual similarity model.	Nous fournissons également un pipeline simple et rentable pour générer automatiquement des données afin de former le modèle de similarité conceptuelle.	Nous fournissons également une pipeline simple et rentable pour générer automatiquement des données afin de former le modèle de similarité conceptuelle.
3866253	4214	7	We show that our pipeline generates high-quality datasets, and evaluate the similarity model both systematically and on a downstream application.	Nous montrons que notre pipeline génère des ensembles de données de haute qualité, et évaluons le modèle de similarité à la fois systématiquement et sur une application en aval.	Nous montrons que notre pipeline génère des ensembles de données de haute qualité, et évaluons le modèle de similarité à la fois systématiquement et sur une application en aval.
3866253	4214	8	Experiments show that conceptual similarity outperforms existing work when using subjective tags.	Les expériences montrent que la similarité conceptuelle surpasse le travail existant en utilisant des étiquettes subjectives.	Les expériences montrent que la similarité conceptuelle surpasse le travail existant en utilisant des tags subjectifs.
3694961	11370	0	Incremental and compressible kernel null discriminant analysis	Analyse discriminante du noyau incrémental et compressible	Analyse discriminante du noyau incrémental et compressible
3694961	11370	1	Kernel discriminant analysis (KDA), the nonlinear extension of linear Discriminant Analysis (LDA), is a popular tool for learning one or multiple categories in nonlinear data sets.	L’analyse discriminante du noyau (KDA), l’extension non linéaire de l’analyse discriminante linéaire (LDA), est un outil populaire pour apprendre une ou plusieurs catégories dans des ensembles de données non linéaires.	L’analyse discriminante du noyau (KDA), extension non linéaire de l’analyse discriminante linéaire (LDA), est un outil populaire pour apprendre une ou plusieurs catégories dans des ensembles de données non linéaires.
3694961	11370	2	However, in most modern pattern recognition applications such as video surveillance, data are collected in flow and require sequential processing.	Cependant, dans la plupart des applications modernes de reconnaissance de motifs telles que la vidéosurveillance, les données sont collectées en flux et nécessitent un traitement séquentiel.	Cependant, dans la plupart des applications modernes de reconnaissance de motifs telles que la vidéosurveillance, les données sont collectées en flux et nécessitent un traitement séquentiel.
3694961	11370	3	In this context, KDA is faced two critical issues: an original formulation unsuited to the dynamic nature of the data and an increasing memory requirement for the kernel matrix storage.	Dans ce contexte, KDA est confrontée à deux problèmes critiques: une formulation originale inadaptée à la nature dynamique des données et à un besoin croissant de mémoire pour le stockage de la matrice du noyau.	Dans ce contexte, la KDA est confrontée à deux problèmes cruciaux : une formulation originale inadaptée à la nature dynamique des données et un besoin croissant de mémoire pour le stockage de la matrice du noyau.
3694961	11370	4	Motivated by the state-of-the-art performance reported by the null KDA, we propose in this paper a new solution to solve the null KDA (NKDA) in the context of data streams.	Motivés par les performances à la pointe de la technologie rapportées par la KDA nulle, nous proposons dans cet article une nouvelle solution pour résoudre le KDA nul (NKDA) dans le contexte des flux de données.	Motivés par les performances à la pointe de la technologie rapportées par la KDA nulle, nous proposons dans cet article une nouvelle solution pour résoudre le KDA nulle (NKDA) dans le contexte des flux de données.
3694961	11370	5	Compared to previous works, our contribution is based on three points: first, we develop an exact incremental scheme which guarantees accurate solutions.	Par rapport aux travaux précédents, notre contribution est basée sur trois points: tout d’abord, nous développons un schéma incrémental exact qui garantit des solutions précises.	Par rapport aux travaux précédents, notre contribution est basée sur trois points : tout d’abord, nous développons un schéma incrémental exact qui garantit des solutions précises.
3694961	11370	6	Secondly, we develop a compression mechanism based on the following observation: rger the size of the training data set more the distances in the null space contract	Deuxièmement, nous développons un mécanisme de compression basé sur l’observation suivante: rger la taille des données d’entraînement plus les distances dans le contrat d’espace nul	Deuxièmement, nous développons un mécanisme de compression basé sur l’observation suivante: régler la taille des données d’entraînement plus les distances dans le contrat d’espace nul.
3694961	11370	7	This property of the null space leads to formulate an indicator of redundancy in the training data set.	Cette propriété de l’espace nul conduit à formuler un indicateur de redondance dans l’ensemble de données d’entraînement.	Cette propriété de l’espace nul conduit à formuler un indicateur de redondance dans l’ensemble de données d’entraînement.
3694961	11370	8	This criterion is the cornerstone of our incremental KNDA because it authorizes incremental learning on large-scale data sets.	Ce critère est la pierre angulaire de notre KNDA incrémental car il autorise l’apprentissage progressif sur des ensembles de données à grande échelle.	Ce critère est la pierre angulaire de notre NKDA incrémental car il autorise l’apprentissage progressif sur des ensembles de données à grande échelle.
3694961	11370	9	Third, the problem of novelty detection in multi-class and one-class scenarios is addressed.	Troisièmement, le problème de la détection de la nouveauté dans les scénarios multi-classes et d’une classe est abordé.	Troisièmement, le problème de la détection de la nouveauté dans les scénarios multi-classes et d’une classe est abordé.
3694961	11370	10	More precisely, the fact that distances in the null space change over the training period leads us to define adjustable novelty thresholds.	Plus précisément, le fait que les distances dans l’espace nul changent au cours de la période d’entraînement nous amène à définir des seuils de nouveauté ajustables.	Plus précisément, le fait que les distances dans l’espace nul changent au cours de la période d’entraînement nous amène à définir des seuils de nouveauté ajustables.
3694961	11370	11	Lastly, numerous experiments based on various publicly available data sets and state-of-the-art classifiers show that the proposed method is effective both for multi-class and one-class real applications.	Enfin, de nombreuses expériences basées sur divers ensembles de données accessibles au public et des classificateurs de pointe montrent que la méthode proposée est efficace à la fois pour des applications réelles multi-classes et une seule classe.	Enfin, de nombreuses expériences basées sur divers ensembles de données accessibles au public et des classificateurs de pointe montrent que la méthode proposée est efficace à la fois pour des applications réelles multi-classes et une seule classe.
1847314	10729	0	Parallel Corpora for the Biomedical Domain	Corpora parallèles pour le domaine biomédical	Corpus parallèles pour le domaine biomédical
1847314	10729	1	A vast amount of biomedical information is available in the form of scientific literature and government-authored patient information documents.	Une grande quantité d'informations biomédicales est disponible sous la forme de littérature scientifique et de documents d'information pour les patients rédigés par les pouvoirs publics.	Une grande quantité d'informations biomédicales est disponible dans la littérature scientifique et dans les documents d'information à l'intention des patients rédigés par les pouvoirs publics.
1847314	10729	2	While English is the most widely used language in many of these sources, there is a need to provide access to health information in languages other than English.	Bien que l'anglais soit la langue la plus utilisée dans bon nombre de ces sources, il est nécessaire de fournir un accès à l'information sur la santé dans des langues autres que l'anglais.	Bien que l'anglais soit la langue la plus utilisée dans bon nombre de ces sources, il est nécessaire de fournir un accès à l'information sur la santé dans des langues autres que l'anglais.
1847314	10729	3	Parallel corpora can be leveraged to implement cross-lingual information retrievalor machine translation tools.	Les corpus parallèles peuvent être utilisés pour mettre en œuvre des outils de recherche d'informations ou de traduction automatique multilingues.	Les corpus parallèles peuvent être utilisés pour mettre en œuvre des outils multilingues de recherche d'information ou de traduction automatique.
1847314	10729	4	Herein, we review the extent of parallel corpus coverage in the biomedical domain.	Nous examinons ici l'étendue de la couverture des corpus parallèles dans le domaine biomédical.	Nous examinons ici l'étendue de la couverture des corpus parallèles dans le domaine biomédical.
1847314	10729	5	Specifically, we perform a scoping review of existing resources and we describe the recent development of new datasets for scientific literature (the EDP dataset and an extension of the Scielo corpus) and clinical trials (the ReBEC corpus).	Plus précisément, nous procédons à une analyse des ressources existantes et nous décrivons le développement récent de nouveaux ensembles de données pour la littérature scientifique (l'ensemble de données EDP et une extension du corpus Scielo) et les essais cliniques (le corpus ReBEC).	Plus précisément, nous passons en revue les ressources existantes et nous décrivons le développement récent de nouveaux corpus comportant de la littérature scientifique (l'ensemble de données EDP et une extension du corpus Scielo) et des essais cliniques (le corpus ReBEC).
1847314	10729	6	These corpora are currently beingused in the biomedical task in the Conference on Machine Translation (WMT16 and WMT17), which illustrates their potential for improving and evaluating biomedical machine translation systems.	Ces corpus sont actuellement utilisés dans la tâche biomédicale de la Conférence sur la traduction automatique (WMT16 et WMT17), ce qui illustre leur potentiel pour l'amélioration et l'évaluation des systèmes de traduction automatique biomédicale.	Ces corpus sont actuellement utilisés dans la tâche biomédicale de la Conférence sur la traduction automatique (WMT16 et WMT17), ce qui illustre leur potentiel pour l'amélioration et l'évaluation des systèmes de traduction automatique dans le domaine biomédical.
1847314	10729	7	Furthermore, we suggest additional applications for multilingual natural language processing using these resources, and plan to extend resource coverage to additional text genres and language pairs.	En outre, nous suggérons d'autres applications pour le traitement multilingue du langage naturel en utilisant ces ressources, et nous prévoyons d'étendre la couverture des ressources à d'autres genres de textes et paires de langues.	En outre, nous suggérons d'autres applications pour le traitement multilingue du langage naturel en utilisant ces ressources, et nous prévoyons d'étendre la couverture des ressources à d'autres genres de textes et paires de langues.
3995339	3097	0	Integrating Translation Memories into Non-Autoregressive Machine Translation	Intégration des mémoires de traduction dans la traduction automatique non-autorégressive	Intégration des mémoires de traduction dans la traduction automatique non-autorégressive
3995339	3097	1	Non-autoregressive machine translation (NAT) has recently made great progress.	La traduction automatique non autorégressive (NAT) a récemment fait de grands progrès.	La traduction automatique non autorégressive (NAT, non-autoregressive machine translation) a récemment fait de grands progrès.
3995339	3097	2	However, most works to date have focused on standard translation tasks, even though some edit-based NAT models, such as the Levenshtein Transformer (LevT), seem well suited to translate with a Translation Memory (TM).	Cependant, la plupart des travaux à ce jour se sont concentrés sur des tâches de traduction standard, même si certains modèles NAT basés sur l’édition, tels que le Levenshtein Transformer (LevT), semblent bien adaptés à la traduction avec une mémoire de traduction (TM).	Cependant, la plupart des travaux à ce jour se sont concentrés sur des tâches de traduction standard, même si certains modèles de NAT basés sur l’édition, tels que le Levenshtein Transformer (LevT), semblent bien adaptés à la traduction avec une mémoire de traduction (MT).
3995339	3097	3	This is the scenario considered here.	C’est le scénario considéré ici.	C’est le scénario considéré ici.
3995339	3097	4	We first analyze the vanilla LevT model and explain why it does not do well in this setting.	Nous analysons d’abord le modèle de vanille LevT et expliquons pourquoi il ne fonctionne pas bien dans ce cadre.	Nous analysons d’abord le modèle de base LevT et expliquons pourquoi il ne fonctionne pas bien dans ce cadre.
3995339	3097	5	We then propose a new variant, TM-LevT, and show how to effectively train this model.	Nous proposons ensuite une nouvelle variante, TM-LevT, et montrons comment former efficacement ce modèle.	Nous proposons ensuite une nouvelle variante, TM-LevT, et montrons comment former efficacement ce modèle.
3995339	3097	6	By modifying the data presentation and introducing an extra deletion operation, we obtain performance that are on par with an autoregressive approach, while reducing the decoding load.	En modifiant la présentation des données et en introduisant une opération de suppression supplémentaire, nous obtenons des performances équivalentes à une approche autorégressive, tout en réduisant la charge de décodage.	En modifiant la présentation des données et en introduisant une opération de suppression supplémentaire, nous obtenons des performances équivalentes à une approche autorégressive, tout en réduisant la charge de décodage.
3995339	3097	7	We also show that incorporating TMs during training dispenses to use knowledge distillation, a well-known trick used to mitigate the multimodality issue.	Nous montrons également que l’intégration des MT lors des dispenses de formation permet d’utiliser la distillation des connaissances, une astuce bien connue utilisée pour atténuer la question de la multimodalité.	Nous montrons également que l’intégration des MT lors des dispenses de formation permet d’utiliser la distillation des connaissances, une astuce bien connue utilisée pour atténuer la question de la multimodalité.
3694666	16506	0	Does Open Access Really Increase Impact? A Large-Scale Randomized Analysis	L'Open Access Augmente-T-Il Réellement Son Impact ? Analyse Randomisée À Grande Échelle	L'Open Access augmente-t-il réellement l'impact ? Analyse randomisée à grande échelle
3694666	16506	1	The Open Access Citation Advantage (OACA) has been a major topic of discussion in the literature over the past twenty years.	L'avantage de la citation libre accès (OACA) a été un sujet de discussion majeur dans la littérature au cours des vingt dernières années.	L'avantage de la citation open access (OACA, Open Access Citation Advantage) a été un sujet de discussion majeur dans la littérature au cours des vingt dernières années.
3694666	16506	2	In this paper, we propose a method to constitute a control group to isolate the OACA effect.	Dans cet article, nous proposons une méthode pour constituer un groupe témoin pour isoler l'effet OACA.	Dans cet article, nous proposons une méthode pour constituer un groupe témoin pour isoler l'effet OACA.
3694666	16506	3	Thus, we compared citation impact (MNCS) of 2,458,378 publications in fully OA journals to that (weighted MNCS) of a control group of non-OA publications (#10,310,842).	Ainsi, nous avons comparé l'impact des citations (MNCS) de 2 458 378 publications dans des revues entièrement consacrées à l'arthrose à celui (MNCS pondérés) d'un groupe témoin de publications non liées à l'arthrose (10 310 842).	Ainsi, nous avons comparé l'impact des citations (MNCS) de 2 458 378 publications dans des revues entièrement consacrées à l'arthrose à celui d'un groupe témoin de 10 310 842 publications non liées à l'arthrose (MNCS pondérés).
3694666	16506	4	Similarly, we did the same exercise for OA publications in hybrid journals (#1,024,430) and their control group (#11,533,001), over the period 2010-2020.	De même, nous avons effectué le même exercice pour les publications sur l'arthrose dans des revues hybrides (#1 024 430) et leur groupe témoin (#1 533 001), au cours de la période 2010-2020.	Nous avons effectué le même exercice pour les publications sur l'arthrose dans des revues hybrides (1 024 430) et leur groupe témoin (1 533 001), sur la période 2010-2020.
3694666	16506	5	The results showed that there is no OACA for publications in fully OA journals, and that there is rather a disadvantage.	Les résultats ont montré qu'il n'y a pas d'OACA pour les publications dans les revues entièrement OA, et qu'il y a plutôt un désavantage.	Les résultats ont montré qu'il n'y a pas d'OACA pour les publications dans les revues entièrement OA, et qu'il y a plutôt un désavantage.
3694666	16506	6	Conversely, the OACA seems to be a reality in hybrid journals, suggesting that a better accessibility tends to improve the impact of publications.	À l'inverse, l'OACA semble être une réalité dans les revues hybrides, suggérant qu'une meilleure accessibilité tend à améliorer l'impact des publications.	À l'inverse, l'OACA semble être une réalité dans les revues hybrides, suggérant qu'une meilleure accessibilité tend à améliorer l'impact des publications.
3694666	16506	7	The lack of OACA for publications in fully OA journals is to be expected, as a great proportion of OA journals are newly created and less attractive to high-impact senior researchers.Another striking result of this paper is the fall of the OACA from 2016.	Il faut s'attendre à ce qu'il n'y ait pas suffisamment de publications du BCAA dans les revues entièrement consacrées à l'arthrose, car une grande proportion de ces revues sont nouvellement créées et moins attrayantes pour les chercheurs chevronnés à impact élevé.	Il faut s'attendre à ce qu'il n'y ait pas suffisamment de publications du BCAA dans les revues entièrement consacrées à l'arthrose, car une grande proportion de ces revues sont nouvellement créées et moins attrayantes pour les chercheurs chevronnés à impact élevé.
3694666	16506	8	The citation advantage fell from 70% to 9% between 2016 and 2020 (for publications in hybrid journals).	L'avantage de citation est passé de 70 % à 9 % entre 2016 et 2020 (pour les publications dans des revues hybrides).	L'avantage de citation est passé de 70 % à 9 % entre 2016 et 2020 (pour les publications dans des revues hybrides).
3694666	16506	9	We wonder if this fall is linked to the increase in the notoriety of pirate sites (eg Sci-Hub) from 2016.	Nous nous demandons si cette chute est liée à l'augmentation de la notoriété des sites pirates (par exemple Sci-Hub) à partir de 2016.	Nous nous demandons si cette chute est liée à l'augmentation de la notoriété des sites pirates (par exemple Sci-Hub) à partir de 2016.
3694666	16506	10	In other words, the democratization of pirate sites instantly cancels the positive effect of OA publication insofar as the question of access to scientific content no longer arises.	En d'autres termes, la démocratisation des sites pirates annule instantanément l'effet positif de la publication OA dans la mesure où la question de l'accès au contenu scientifique ne se pose plus.	En d'autres termes, la démocratisation des sites pirates annule instantanément l'effet positif de la publication OA dans la mesure où la question de l'accès au contenu scientifique ne se pose plus.
3688032	11404	0	Screen & Relax: Accelerating The Resolution Of Elastic-Net By Safe Identification of The Solution Support	Ecran et Détendez-vous: Accélérer la résolution de Elastic-Net en identifiant en toute sécurité le support de la solution	Ecran et Détendez-vous: Accélérer la résolution de Elastic-Net en identifiant en toute sécurité le support de la solution
3688032	11404	1	ok	OK	OK
3963729	18667	0	Data-Efficient French Language Modeling with CamemBERTa	Modélisation de la langue française efficace en termes de données avec CamemBERTa	Modélisation de la langue française efficace en termes de données avec CamemBERTa
3963729	18667	1	Recent advances in NLP have significantly improved the performance of language models on a variety of tasks.	Les progrès récents dans le domaine du NLP ont permis d'améliorer de manière significative les performances des modèles de langage sur un grand nombre de tâches.	Les progrès récents dans le domaine du TAL ont permis d'améliorer de manière significative les performances des modèles de langage sur un grand nombre de tâches.
3963729	18667	2	While these advances are largely driven by the availability of large amounts of data and compute, they also benefit from the development of better training methods and architectures.	Bien que ces progrès soient en grande partie dus à la disponibilité de grandes quantités de données et de calculs, ils bénéficient également du développement de meilleures méthodes et architectures d'apprentissage.	Bien que ces progrès soient en grande partie dus à la disponibilité de grandes quantités de données et de calculs, ils bénéficient également du développement de meilleures méthodes et architectures d'apprentissage.
3963729	18667	3	In this paper, we introduce CAMEMBERTA, a French DeBERTa model that builds upon the DeBERTaV3 architecture and training objective.	Dans cet article, nous présentons CAMEMBERTA, un modèle DeBERTa français qui s'appuie sur l'architecture et l'objectif de formation de DeBERTaV3.	Dans cet article, nous présentons CAMEMBERTA, un modèle DeBERTa français qui s'appuie sur l'architecture et l'objectif de formation de DeBERTaV3.
3963729	18667	4	We evaluate our model's performance on a variety of French downstream tasks and datasets, including question answering, part-of-speech tagging, dependency parsing, named entity recognition, and the FLUE benchmark, and compare against CamemBERT, the state-of-the-art monolingual model for French.	Nous évaluons la performance de notre modèle sur une variété de tâches et d'ensembles de données en aval du français, y compris la réponse aux questions, l'étiquetage de la partie du discours, l'analyse syntaxique des dépendances, la reconnaissance des entités nommées et le benchmark FLUE, et nous le comparons à CamemBERT, le modèle monolingue de pointe pour le français.	Nous évaluons la performance de notre modèle sur une variété de tâches et d'ensembles de données en aval du français, y compris la réponse aux questions, l'étiquetage des partie du discours, l'analyse syntaxique des dépendances, la reconnaissance des entités nommées et le benchmark FLUE, et nous le comparons à CamemBERT, le modèle monolingue de pointe pour le français.
3963729	18667	5	Our results show that, given the same amount of training tokens, our model outperforms BERT-based models trained with MLM on most tasks.	Nos résultats montrent que, pour une même quantité de jetons d'entraînement, notre modèle est plus performant que les modèles basés sur BERT entraînés avec MLM dans la plupart des tâches.	Nos résultats montrent que, pour une même quantité de jetons d'entraînement, notre modèle est plus performant que les modèles basés sur BERT entraînés avec MLM dans la plupart des tâches.
3963729	18667	6	Furthermore, our new model reaches similar or superior performance on downstream tasks compared to Camem-BERT, despite being trained on only 30% of its total number of input tokens.	De plus, notre nouveau modèle atteint des performances similaires ou supérieures sur les tâches en aval par rapport à Camem-BERT, bien qu'il ait été entraîné sur seulement 30% de son nombre total de tokens d'entrée.	De plus, notre nouveau modèle atteint des performances similaires ou supérieures sur les tâches en aval par rapport à Camem-BERT, bien qu'il ait été entraîné sur seulement 30% de son nombre total de tokens d'entrée.
3963729	18667	7	In addition to our experimental results, we also publicly release the weights and code implementation of CAMEMBERTA, making it the first publicly available DeBERTaV3 model outside of the original paper and the first openly available implementation of a DeBERTaV3 training objective.	En plus de nos résultats expérimentaux, nous publions également les poids et l'implémentation du code de CAMEMBERTA, ce qui en fait le premier modèle DeBERTaV3 accessible au public en dehors de l'article original et la première implémentation accessible au public d'un objectif d'entraînement DeBERTaV3.	En plus de nos résultats expérimentaux, nous publions également les poids et l'implémentation du code de CAMEMBERTA, ce qui en fait le premier modèle DeBERTaV3 accessible au public en dehors de l'article original et la première implémentation accessible au public d'un objectif d'entraînement DeBERTaV3.
3945796	12841	0	Detection of COVID-19-Related Conpiracy Theories in Tweets using Transformer-Based Models and Node Embedding Techniques	Détection des théories de la conpiratie liées à la COVID-19 dans les tweets à l’aide de modèles basés sur des transformateurs et de techniques d’intégration de nœuds	Détection des théories du complot liées au COVID-19 dans les tweets à l’aide de modèles fondés sur Transformer et de techniques de plongement de nœuds
3945796	12841	1	With the amount of information shared on the internet increasing on a daily basis, we are prone to face more misinformation online.	Avec l’augmentation quotidienne de la quantité d’informations partagées sur Internet, nous sommes enclins à faire face à davantage de désinformation en ligne.	Avec l’augmentation quotidienne de la quantité d’informations partagées sur Internet, nous sommes enclins à faire face à davantage de désinformation en ligne.
3945796	12841	2	This is especially true on social media websites, where users have good amount of freedom to share their opinion.	Cela est particulièrement vrai sur les sites de médias sociaux, où les utilisateurs ont une grande liberté de partager leur opinion.	Cela est particulièrement vrai sur les réseaux sociaux, où les utilisateurs ont une grande liberté de partager leur opinion.
3945796	12841	3	During the COVID-19 pandemic, numerous conspiracy theories were shared on Twitter.	Pendant la pandémie de COVID-19, de nombreuses théories du complot ont été partagées sur Twitter.	Pendant la pandémie de COVID-19, de nombreuses théories du complot ont été partagées sur Twitter.
3945796	12841	4	"In this ""FakeNews Detection"" task, the goal is to detect COVID-19related conspiracy theories using tweet text and user interaction graph."	Dans cette tâche «FakeNews Detection», l’objectif est de détecter les théories du complot liées à la COVID-19 en utilisant le texte de tweet et le graphique d’interaction utilisateur.	Dans cette tâche « FakeNews Detection », l’objectif est de détecter les théories du complot liées au COVID-19 en utilisant le texte des tweets et le graphique d’interaction de l'utilisateur.
3945796	12841	5	We tackled this challenge using Transformer-based models (CT-BERT) and node embedding techniques (node2vec) with classification objective models.	Nous avons relevé ce défi en utilisant des modèles basés sur Transformer (CT-BERT) et des techniques d’intégration de nœuds (node2vec) avec des modèles objectifs de classification.	Nous avons relevé ce défi en utilisant des modèles basés sur Transformer (CT-BERT) et des techniques de plongement de nœuds (node2vec) avec des modèles objectifs de classification.
3945796	12841	6	Our best model obtains a MCC score of 0.719 on the test data.	Notre meilleur modèle obtient un score MCC de 0,719 sur les données de test.	Notre meilleur modèle obtient un score MCC de 0,719 sur les données de test.
3984703	10119	0	Omnicrobe, an open-access database of microbial habitats and phenotypes using a comprehensive text mining and data fusion approach	Omnicrobe, une base de données en libre accès sur les habitats et les phénotypes microbiens utilisant une approche complète d'exploration de texte et de fusion de données.	Omnicrobe, une base de données en libre accès sur les habitats et les phénotypes microbiens utilisant une approche complète d'exploration de texte et de fusion de données.
3984703	10119	1	The dramatic increase in the number of microbe descriptions in databases, reports, and papers presents a two-fold challenge for accessing the information: integration of heterogeneous data in a standard ontology-based representation and normalization of the textual descriptions by semantic analysis.	L'augmentation spectaculaire du nombre de descriptions de microbes dans les bases de données, les rapports et les articles présente un double défi pour l'accès à l'information : l'intégration de données hétérogènes dans une représentation standard basée sur une ontologie et la normalisation des descriptions textuelles par l'analyse sémantique.	L'augmentation spectaculaire du nombre de descriptions de microbes dans les bases de données, les rapports et les articles présente un double défi pour l'accès à l'information : l'intégration de données hétérogènes dans une représentation standard basée sur une ontologie et la normalisation des descriptions textuelles par l'analyse sémantique.
3984703	10119	2	Recent text mining methods offer powerful ways to extract textual information and generate ontology-based representation.	Les méthodes récentes d'exploration de texte offrent des moyens puissants d'extraire des informations textuelles et de générer une représentation basée sur une ontologie.	Les méthodes récentes d'exploration de texte offrent des moyens puissants d'extraire des informations textuelles et de générer une représentation basée sur une ontologie.
3984703	10119	3	This paper describes the design of the Omnicrobe application that gathers comprehensive information on habitats, phenotypes, and usages of microbes from scientific sources of high interest to the microbiology community.	Cet article décrit la conception de l'application Omnicrobe qui rassemble des informations complètes sur les habitats, les phénotypes et les utilisations des microbes à partir de sources scientifiques présentant un grand intérêt pour la communauté microbiologique.	Cet article décrit la conception de l'application Omnicrobe, qui rassemble des informations complètes sur les habitats, les phénotypes et les utilisations des microbes à partir de sources scientifiques présentant un grand intérêt pour la communauté microbiologique.
3984703	10119	4	The Omnicrobe database contains around 1 million descriptions of microbe properties.	La base de données Omnicrobe contient environ 1 million de descriptions des propriétés des microbes.	La base de données Omnicrobe contient environ 1 million de descriptions des propriétés des microbes.
