id_hal,Translation_id,Postedit_id,line_id,source,translation,postedition,translation_tokenized,translation_word_offset,postedition_tokenized,postedition_word_offset
1821049,6181,159,4,Although some basic rules of translation are same but many of them vary with the selection of language pair.,"Bien que certaines règles de base de la traduction soient identiques, beaucoup d'entre elles varient avec la sélection de la paire de langues.","Bien que certaines règles de base de la traduction soient identiques, nombre d'entre elles varient selon la paire de langues considérée.","['Bien', 'que', 'certaines', 'règles', 'de', 'base', 'de', 'la', 'traduction', 'soient', 'identiques,', 'beaucoup', ""d'entre"", 'elles', 'varient', 'avec', 'la', 'sélection', 'de', 'la', 'paire', 'de', 'langues.']","[(0, 4), (4, 8), (8, 18), (18, 25), (25, 28), (28, 33), (33, 36), (36, 39), (39, 50), (50, 57), (57, 69), (69, 78), (78, 86), (86, 92), (92, 100), (100, 105), (105, 108), (108, 118), (118, 121), (121, 124), (124, 130), (130, 133), (133, 142)]","['Bien', 'que', 'certaines', 'règles', 'de', 'base', 'de', 'la', 'traduction', 'soient', 'identiques,', 'nombre', ""d'entre"", 'elles', 'varient', 'selon', 'la', 'paire', 'de', 'langues', 'considérée.']","[(0, 4), (4, 8), (8, 18), (18, 25), (25, 28), (28, 33), (33, 36), (36, 39), (39, 50), (50, 57), (57, 69), (69, 76), (76, 84), (84, 90), (90, 98), (98, 104), (104, 107), (107, 113), (113, 116), (116, 124), (124, 136)]"
1821049,6181,159,5,"While concerning with the scientific text, every science domain has thousands of terminologies.","Bien que concernant le texte scientifique, chaque domaine scientifique a des milliers de terminologies.","S'agissant de textes scientifiques, chaque domaine des sciences possède une terminologie spécifique.","['Bien', 'que', 'concernant', 'le', 'texte', 'scientifique,', 'chaque', 'domaine', 'scientifique', 'a', 'des', 'milliers', 'de', 'terminologies.']","[(0, 4), (4, 8), (8, 19), (19, 22), (22, 28), (28, 42), (42, 49), (49, 57), (57, 70), (70, 72), (72, 76), (76, 85), (85, 88), (88, 103)]","[""S'agissant"", 'de', 'textes', 'scientifiques,', 'chaque', 'domaine', 'des', 'sciences', 'possède', 'une', 'terminologie', 'spécifique.']","[(0, 10), (10, 13), (13, 20), (20, 35), (35, 42), (42, 50), (50, 54), (54, 63), (63, 71), (71, 75), (75, 88), (88, 100)]"
1821049,6181,159,6,Translation of these terminologies according to the domain boosts the performance of translation.,La traduction de ces terminologies en fonction du domaine améliore les performances de traduction.,La traduction de ces terminologies en fonction du domaine améliore les performances de traduction.,"['La', 'traduction', 'de', 'ces', 'terminologies', 'en', 'fonction', 'du', 'domaine', 'améliore', 'les', 'performances', 'de', 'traduction.']","[(0, 2), (2, 13), (13, 16), (16, 20), (20, 34), (34, 37), (37, 46), (46, 49), (49, 57), (57, 66), (66, 70), (70, 83), (83, 86), (86, 98)]","['La', 'traduction', 'de', 'ces', 'terminologies', 'en', 'fonction', 'du', 'domaine', 'améliore', 'les', 'performances', 'de', 'traduction.']","[(0, 2), (2, 13), (13, 16), (16, 20), (20, 34), (34, 37), (37, 46), (46, 49), (49, 57), (57, 66), (66, 70), (70, 83), (83, 86), (86, 98)]"
1821049,6181,159,7,"Translation of scientific text is ignored in the literature, as it needs more effort and expertise of both domain and language are required.","La traduction de textes scientifiques est ignorée dans la littérature, car elle nécessite plus d'efforts et d'expertise, tant dans le domaine que dans la langue.","La traduction de textes scientifiques est négligée dans la littérature, car elle nécessite plus d'efforts et d'expertise, tant dans le domaine que dans la langue.","['La', 'traduction', 'de', 'textes', 'scientifiques', 'est', 'ignorée', 'dans', 'la', 'littérature,', 'car', 'elle', 'nécessite', 'plus', ""d'efforts"", 'et', ""d'expertise,"", 'tant', 'dans', 'le', 'domaine', 'que', 'dans', 'la', 'langue.']","[(0, 2), (2, 13), (13, 16), (16, 23), (23, 37), (37, 41), (41, 49), (49, 54), (54, 57), (57, 70), (70, 74), (74, 79), (79, 89), (89, 94), (94, 104), (104, 107), (107, 120), (120, 125), (125, 130), (130, 133), (133, 141), (141, 145), (145, 150), (150, 153), (153, 161)]","['La', 'traduction', 'de', 'textes', 'scientifiques', 'est', 'négligée', 'dans', 'la', 'littérature,', 'car', 'elle', 'nécessite', 'plus', ""d'efforts"", 'et', ""d'expertise,"", 'tant', 'dans', 'le', 'domaine', 'que', 'dans', 'la', 'langue.']","[(0, 2), (2, 13), (13, 16), (16, 23), (23, 37), (37, 41), (41, 50), (50, 55), (55, 58), (58, 71), (71, 75), (75, 80), (80, 90), (90, 95), (95, 105), (105, 108), (108, 121), (121, 126), (126, 131), (131, 134), (134, 142), (142, 146), (146, 151), (151, 154), (154, 162)]"
1821049,6181,159,8,"In this research, we have proposed an effective scientific text translator for English to Urdu to cope with the challenge of scientific text translation.","Dans cette recherche, nous avons proposé un traducteur de texte scientifique efficace pour l'anglais à l'ourdou pour faire face au défi de la traduction de texte scientifique.","Dans cette recherche, nous avons proposé un traducteur de textes scientifiques efficace anglais--&gt;ourdou pour faire face au défi de la traduction scientifique.","['Dans', 'cette', 'recherche,', 'nous', 'avons', 'proposé', 'un', 'traducteur', 'de', 'texte', 'scientifique', 'efficace', 'pour', ""l'anglais"", 'à', ""l'ourdou"", 'pour', 'faire', 'face', 'au', 'défi', 'de', 'la', 'traduction', 'de', 'texte', 'scientifique.']","[(0, 4), (4, 10), (10, 21), (21, 26), (26, 32), (32, 40), (40, 43), (43, 54), (54, 57), (57, 63), (63, 76), (76, 85), (85, 90), (90, 100), (100, 102), (102, 111), (111, 116), (116, 122), (122, 127), (127, 130), (130, 135), (135, 138), (138, 141), (141, 152), (152, 155), (155, 161), (161, 175)]","['Dans', 'cette', 'recherche,', 'nous', 'avons', 'proposé', 'un', 'traducteur', 'de', 'textes', 'scientifiques', 'efficace', 'anglais--&gt;ourdou', 'pour', 'faire', 'face', 'au', 'défi', 'de', 'la', 'traduction', 'scientifique.']","[(0, 4), (4, 10), (10, 21), (21, 26), (26, 32), (32, 40), (40, 43), (43, 54), (54, 57), (57, 64), (64, 78), (78, 87), (87, 107), (107, 112), (112, 118), (118, 123), (123, 126), (126, 131), (131, 134), (134, 137), (137, 148), (148, 162)]"
1821049,6181,159,9,This method tags and translate the terms according to the domain.,Cette méthode marque et traduit les termes en fonction du domaine.,Cette méthode annote et traduit les termes en fonction du domaine.,"['Cette', 'méthode', 'marque', 'et', 'traduit', 'les', 'termes', 'en', 'fonction', 'du', 'domaine.']","[(0, 5), (5, 13), (13, 20), (20, 23), (23, 31), (31, 35), (35, 42), (42, 45), (45, 54), (54, 57), (57, 66)]","['Cette', 'méthode', 'annote', 'et', 'traduit', 'les', 'termes', 'en', 'fonction', 'du', 'domaine.']","[(0, 5), (5, 13), (13, 20), (20, 23), (23, 31), (31, 35), (35, 42), (42, 45), (45, 54), (54, 57), (57, 66)]"
1821049,6181,159,10,We have introduced a term tagger for tagging terms.,Nous avons introduit un marqueur de termes pour marquer des termes.,Nous avons introduit un marqueur de termes pour marquer les termes.,"['Nous', 'avons', 'introduit', 'un', 'marqueur', 'de', 'termes', 'pour', 'marquer', 'des', 'termes.']","[(0, 4), (4, 10), (10, 20), (20, 23), (23, 32), (32, 35), (35, 42), (42, 47), (47, 55), (55, 59), (59, 67)]","['Nous', 'avons', 'introduit', 'un', 'marqueur', 'de', 'termes', 'pour', 'marquer', 'les', 'termes.']","[(0, 4), (4, 10), (10, 20), (20, 23), (23, 32), (32, 35), (35, 42), (42, 47), (47, 55), (55, 59), (59, 67)]"
1821049,6181,159,11,The system can work for any domain but for experimental purpose we have selected the domain of computer science.,"Le système peut fonctionner pour n'importe quel domaine, mais à des fins expérimentales, nous avons choisi le domaine de l'informatique.","Le système peut être appliqué à tous les domaines, mais à des fins expérimentales, nous avons choisi le domaine de l'informatique.","['Le', 'système', 'peut', 'fonctionner', 'pour', ""n'importe"", 'quel', 'domaine,', 'mais', 'à', 'des', 'fins', 'expérimentales,', 'nous', 'avons', 'choisi', 'le', 'domaine', 'de', ""l'informatique.""]","[(0, 2), (2, 10), (10, 15), (15, 27), (27, 32), (32, 42), (42, 47), (47, 56), (56, 61), (61, 63), (63, 67), (67, 72), (72, 88), (88, 93), (93, 99), (99, 106), (106, 109), (109, 117), (117, 120), (120, 136)]","['Le', 'système', 'peut', 'être', 'appliqué', 'à', 'tous', 'les', 'domaines,', 'mais', 'à', 'des', 'fins', 'expérimentales,', 'nous', 'avons', 'choisi', 'le', 'domaine', 'de', ""l'informatique.""]","[(0, 2), (2, 10), (10, 15), (15, 20), (20, 29), (29, 31), (31, 36), (36, 40), (40, 50), (50, 55), (55, 57), (57, 61), (61, 66), (66, 82), (82, 87), (87, 93), (93, 100), (100, 103), (103, 111), (111, 114), (114, 130)]"
1821049,6181,159,12,System is evaluated on self-generated corpus of computer science.,Le système est évalué sur un corpus autogénéré d'informatique.,Le système est évalué sur un corpus auto-généré d'informatique.,"['Le', 'système', 'est', 'évalué', 'sur', 'un', 'corpus', 'autogénéré', ""d'informatique.""]","[(0, 2), (2, 10), (10, 14), (14, 21), (21, 25), (25, 28), (28, 35), (35, 46), (46, 62)]","['Le', 'système', 'est', 'évalué', 'sur', 'un', 'corpus', 'auto-généré', ""d'informatique.""]","[(0, 2), (2, 10), (10, 14), (14, 21), (21, 25), (25, 28), (28, 35), (35, 47), (47, 63)]"
1821049,6181,159,13,It is also compared with the existing translators to demonstrate the dominance of proposed translator as compared to the competitor.,Il est également comparé avec les traducteurs existants pour démontrer la domination du traducteur proposé par rapport au concurrent.,Il est également comparé avec les traducteurs existants pour démontrer la supériorité du traducteur proposé par rapport à la concurrence.,"['Il', 'est', 'également', 'comparé', 'avec', 'les', 'traducteurs', 'existants', 'pour', 'démontrer', 'la', 'domination', 'du', 'traducteur', 'proposé', 'par', 'rapport', 'au', 'concurrent.']","[(0, 2), (2, 6), (6, 16), (16, 24), (24, 29), (29, 33), (33, 45), (45, 55), (55, 60), (60, 70), (70, 73), (73, 84), (84, 87), (87, 98), (98, 106), (106, 110), (110, 118), (118, 121), (121, 133)]","['Il', 'est', 'également', 'comparé', 'avec', 'les', 'traducteurs', 'existants', 'pour', 'démontrer', 'la', 'supériorité', 'du', 'traducteur', 'proposé', 'par', 'rapport', 'à', 'la', 'concurrence.']","[(0, 2), (2, 6), (6, 16), (16, 24), (24, 29), (29, 33), (33, 45), (45, 55), (55, 60), (60, 70), (70, 73), (73, 85), (85, 88), (88, 99), (99, 107), (107, 111), (111, 119), (119, 121), (121, 124), (124, 137)]"
1821049,6181,159,14,The comparative results of proposed approach and existing are shown in the form of tables.,Les résultats comparatifs de l'approche proposée et de l'approche existante sont présentés sous forme de tableaux.,Les résultats comparés de l'approche proposée et de celles existantes sont présentés sous forme de tableaux.,"['Les', 'résultats', 'comparatifs', 'de', ""l'approche"", 'proposée', 'et', 'de', ""l'approche"", 'existante', 'sont', 'présentés', 'sous', 'forme', 'de', 'tableaux.']","[(0, 3), (3, 13), (13, 25), (25, 28), (28, 39), (39, 48), (48, 51), (51, 54), (54, 65), (65, 75), (75, 80), (80, 90), (90, 95), (95, 101), (101, 104), (104, 114)]","['Les', 'résultats', 'comparés', 'de', ""l'approche"", 'proposée', 'et', 'de', 'celles', 'existantes', 'sont', 'présentés', 'sous', 'forme', 'de', 'tableaux.']","[(0, 3), (3, 13), (13, 22), (22, 25), (25, 36), (36, 45), (45, 48), (48, 51), (51, 58), (58, 69), (69, 74), (74, 84), (84, 89), (89, 95), (95, 98), (98, 108)]"
3834732,4248,155,0,T-Modules: Translation Modules for Zero-Shot Cross-Modal Machine Translation,Modules T : Modules de traduction pour la traduction automatique intermodale à tir nul,Modules T : Modules de traduction pour la traduction automatique intermodale zéro-shot,"['Modules', 'T', ':', 'Modules', 'de', 'traduction', 'pour', 'la', 'traduction', 'automatique', 'intermodale', 'à', 'tir', 'nul']","[(0, 7), (7, 9), (9, 11), (11, 19), (19, 22), (22, 33), (33, 38), (38, 41), (41, 52), (52, 64), (64, 76), (76, 78), (78, 82), (82, 86)]","['Modules', 'T', ':', 'Modules', 'de', 'traduction', 'pour', 'la', 'traduction', 'automatique', 'intermodale', 'zéro-shot']","[(0, 7), (7, 9), (9, 11), (11, 19), (19, 22), (22, 33), (33, 38), (38, 41), (41, 52), (52, 64), (64, 76), (76, 86)]"
3834732,4248,155,1,We present a new approach to perform zeroshot cross-modal transfer between speech and text for translation tasks.,Nous présentons une nouvelle approche pour effectuer un transfert intermodal zéro-shot entre la parole et le texte pour les tâches de traduction.,Nous présentons une nouvelle approche permettant d'effectuer un transfert intermodal zéro-shot entre parole et texte écrit pour des tâches de traduction.,"['Nous', 'présentons', 'une', 'nouvelle', 'approche', 'pour', 'effectuer', 'un', 'transfert', 'intermodal', 'zéro-shot', 'entre', 'la', 'parole', 'et', 'le', 'texte', 'pour', 'les', 'tâches', 'de', 'traduction.']","[(0, 4), (4, 15), (15, 19), (19, 28), (28, 37), (37, 42), (42, 52), (52, 55), (55, 65), (65, 76), (76, 86), (86, 92), (92, 95), (95, 102), (102, 105), (105, 108), (108, 114), (114, 119), (119, 123), (123, 130), (130, 133), (133, 145)]","['Nous', 'présentons', 'une', 'nouvelle', 'approche', 'permettant', ""d'effectuer"", 'un', 'transfert', 'intermodal', 'zéro-shot', 'entre', 'parole', 'et', 'texte', 'écrit', 'pour', 'des', 'tâches', 'de', 'traduction.']","[(0, 4), (4, 15), (15, 19), (19, 28), (28, 37), (37, 48), (48, 60), (60, 63), (63, 73), (73, 84), (84, 94), (94, 100), (100, 107), (107, 110), (110, 116), (116, 122), (122, 127), (127, 131), (131, 138), (138, 141), (141, 153)]"
3834732,4248,155,2,Multilingual speech and text are encoded in a joint fixed-size representation space.,La parole et le texte multilingues sont codés dans un espace de représentation commun de taille fixe.,La parole et le texte multilingues sont encodés dans un espace de représentation commun de taille fixe.,"['La', 'parole', 'et', 'le', 'texte', 'multilingues', 'sont', 'codés', 'dans', 'un', 'espace', 'de', 'représentation', 'commun', 'de', 'taille', 'fixe.']","[(0, 2), (2, 9), (9, 12), (12, 15), (15, 21), (21, 34), (34, 39), (39, 45), (45, 50), (50, 53), (53, 60), (60, 63), (63, 78), (78, 85), (85, 88), (88, 95), (95, 101)]","['La', 'parole', 'et', 'le', 'texte', 'multilingues', 'sont', 'encodés', 'dans', 'un', 'espace', 'de', 'représentation', 'commun', 'de', 'taille', 'fixe.']","[(0, 2), (2, 9), (9, 12), (12, 15), (15, 21), (21, 34), (34, 39), (39, 47), (47, 52), (52, 55), (55, 62), (62, 65), (65, 80), (80, 87), (87, 90), (90, 97), (97, 103)]"
